,Rank,Name,Type,Episodes,Studio,Release_season,Tags,Rating,Release_year,Description,Related_anime,Voice_actors
154,155,Laid-Back Camp 2nd Season,TV   ,13.0,C-Station,Winter,"Adventure, Comedy, Seinen, Slice of Life, Iyashikei, The Great Outdoors, Based on a Manga",4.29,2021.0,'Second season of Laid-Back Camp.',"Laid-Back Camp, Laid-Back Camp 2nd Season Specials, Laid-Back Camp Movie","Aoi Inuyama : Aki Toyosaki, Chiaki Ohgaki : Sayuri Hara, Ena Saitou : Rie Takahashi, Nadeshiko Kagamihara : Yumiri Hanamori, Rin Shima : Nao Touyama, Akari Inuyama : Risae Matsuda, Ayano Toki : Tomoyo Kurosawa, Minami Toba : Shizuka Itou, Afro
Original Creator, Yoshiaki Kyougoku
Director & Episode Director & Storyboard, Jin Tanaka
Screenplay & Series Composition, Akiyuki Tateyama
Music, Mutsumi Sasaki
Character Design & Chief Animation Director, Hiroaki Tanaka
Photography Director, Yoshimi Umino
Art Director, Taeko Mizuno
Color Design"
159,160,Natsume's Book of Friends Season 5 Specials,DVD S,,Shuka,,"Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.29,2017.0,'No synopsis yet - check back soon!',Natsume's Book of Friends Season 5,"Nyanko-Sensei : Kazuhiko Inoue, Takashi Natsume : Hiroshi Kamiya, Hatsuma, Hizuchi, Chobi-Hige : Choo, Hinoe : Akemi Okamura, Horned Youkai, Misuzu : Takaya Kuroda, Yuki Midorikawa
Original Creator"
166,167,Barakamon,TV   ,12.0,Kinema Citrus,Summer,"Comedy, Shounen, Slice of Life, Art, Countryside, Island, Iyashikei, Lifestyle Change, Based on a Manga",4.28,2014.0,"'When calligrapher Sei ""Seishuu"" Handa becomes so enraged at a judge\'s critique of his work that he actually punches the old man, his father decides that Sei needs to reflect on his behavior and sends him to a remote island to live. Far from the modern conveniences of the city,\xa0the moody artist must adapt to his rural environment and his quirky but well-intentioned neighbors. How can he focus on his art when his appliances frequently don\'t work, his neighbors keep bothering him, and the neighborhood children have turned his house into a secret base?'","Barakamon: Mijikamon, Handa-kun","Naru Kotoishi : Suzuko Hara, Sei Handa : Daisuke Ono, Hina Kubota : Rina Endou, Hiroshi Kido : Kouki Uchiyama, Miwa Yamamura : Nozomi Furuki, Tamako Arai : Rumi Ookubo, Akihiko Arai : Megumi Han, Akiko Kido : Kei Hayami, Satsuki Yoshino
Original Creator, Masaki Tachibana
Director, Kenji Kawai
Music, Majiro
Character Design, Shingo Kaneko
Episode Director, Eiji Abiko
Key Animator, Super Beaver
Song Performance"
179,180,School Babysitters,TV   ,12.0,Brain's Base,Winter,"Comedy, Drama, Shoujo, Slice of Life, Childcare, Iyashikei, Lifestyle Change, Orphans, School Club, School Life, Siblings, Based on a Manga",4.27,2018.0,"'When Ryuichi and his 2-year-old brother Kotaro\'s parents die in a plane crash, the brothers are adopted by a woman who lost her son in the same incident: the wealthy chairwoman of Morinomiya Academy. She\'s empathetic to the brothers\' plight, but her kindness has a cost: she\'s opened an on-site daycare for the staff\'s children, but doesn\'t have enough people to run it. None of the students have been interested in helping, and the only adult childcare worker spends more time sleeping than caring for the children. The chairwoman\'s solution? Put Ryuichi to work as the very first member of the school\'s new ""Babysitter\'s Club""!'",School Babysitters Special,"Kotaro Kashima : Nozomi Furuki, Ryuichi Kashima : Koutarou Nishiyama, Chukichi Nezu : Motohiro Outa, Hayato Kamitani : Yuuichirou Umehara, Hiroyuki Inui : Yoshimasa Hosoya, Kazuma Mamizuka : Atsumi Tanezaki, Keigo Saikawa : Daisuke Ono, Kirin Kumatsuka : Konomi Kohara, Hari Tokeino
Original Creator, Shusei Morishita
Director, Mina Osawa
Character Design, Satoshi Motoyama
Sound Director"
200,201,Natsume Yuujinchou: Itsuka Yuki no Hi ni,OVA  ,1.0,Brain's Base,,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga",4.26,2014.0,'No synopsis yet - check back soon!',"Natsume's Book of Friends, Natsume's Book of Friends Season 2, Zoku Natsume Yuujinchou: 3D Nyanko-sensei Gekijou, Natsume's Book of Friends Season 3, Natsume's Book of Friends Season 4, Natsume's Book of Friends: Nyanko-sensei & The First Errand, Natsume's Book of Friends Season 5, Natsume's Book of Friends Season 6, Natsume's Book of Friends Movie: Ephemeral Bond","Nyanko-Sensei : Kazuhiko Inoue, Takashi Natsume : Hiroshi Kamiya, Yukihana : Sakiko Uran, Shigeru Fujiwara : Eiji Itou, Touko Fujiwara : Miki Itou, Yuki Midorikawa
Original Creator, Takahiro Oomori
Chief Director, Kotomi Deai
Director, Makoto Yoshimori
Music, Akira Takada
Character Design, Shuko Yokoyama
Producer, Tomomi Kyoutani
Producer, Tomoko Taneoka
Producer"
209,210,My Neighbor Totoro,Movie,,Studio Ghibli,,"Fantasy, Slice of Life, Contemporary Fantasy, Countryside, Family Friendly, Family Life, Japanese Mythology, Non-Human Protagonists, Siblings, Original Work",4.25,1988.0,"'Satsuki, her younger sister Mei and their father have just moved to their new home in the countryside, where grand adventures await them. One day while playing outside in the garden Mei encounters a small creature and decides to follow it. After chasing it through the bushes Mei eventually finds herself at the base of a large Camphor tree and as she drops through a hole in its roots, she lands on the stomach of a large, sleeping forest spirit named Totoro. The two sisters befriend the gentle spirit and are soon introduced to a world more fantastical than they could ever imagine, from playing with soot spirits to meeting a Catbus, to flying through the air and even making the trees grow. However when Mei disappears, Satsuki must call on the help of her new friends if she wants any hope of being able to find her sister...'",Mei and the Baby Cat Bus,"Mei Kusakabe : Chika Sakamoto, Satsuki Kusakabe : Noriko Hidaka, Totoro : Hitoshi Takagi, Cat Bus : Naoki Tatsuta, Granny : Tanie Kitabayashi, Kanta : Toshiyuki Amagasa, Tatsuo Kusakabe : Shigesato Itoi, Kanta'S Aunt : Reiko Suzuki, Hayao Miyazaki
Director & Original Creator & Screenplay & Song Lyrics, Joe Hisaishi
Music & Song Arrangement & Song Composition, Yoshiharu Satou
Character Design & Key Animator, Nobuko Mizuta
Color Design, Shigeharu Shiba
Sound Director, Tooru Hara
Producer, Azumi Inoue
Song Performance, Rieko Nakagawa
Song Lyrics"
234,235,School Babysitters Special,DVD S,,Brain's Base,,"Comedy, Shoujo, Slice of Life, Childcare, Lifestyle Change, Orphans, Siblings, Based on a Manga",4.24,2018.0,'No synopsis yet - check back soon!',School Babysitters,"Kotaro Kashima : Nozomi Furuki, Ryuichi Kashima : Koutarou Nishiyama, Kazuma Mamizuka : Atsumi Tanezaki, Keigo Saikawa : Daisuke Ono, Kirin Kumatsuka : Konomi Kohara, Maria Inomata : Satomi Akesaka, Midori Sawatari : Kaede Hondo, Taka Kamitani : Yuuko Sanpei"
238,239,Non Non Biyori Nonstop,TV   ,12.0,SILVER LINK.,Winter,"Comedy, Seinen, Slice of Life, Countryside, Iyashikei, School Life, Based on a Manga",4.24,2021.0,'Third season of Non Non Biyori.',"Non Non Biyori, Non Non Biyori: Okinawa e Ikukoto ni Natta, Non Non Biyori Repeat, Non Non Biyori Repeat OVA, Non Non Biyori Movie: Vacation, Non Non Biyori Nonstop OVA","Hotaru Ichijou : Rie Murakawa, Komari Koshigaya : Kana Asumi, Natsumi Koshigaya : Ayane Sakura, Renge Miyauchi : Kotori Koiwai, Kaede Kagayama : Rina Satou, Kazuho Miyauchi : Kaori Nazuka, Akane Shinoda : Aimi Tanaka, Hikage Miyauchi : Misato Fukuen, Atto
Original Creator, Shinya Kawatsura
Director, Hiromi Mizutani
Music, Mai Ootsuka
Character Design, Yoshikazu Beniya
Producer, Terushige Yoshie
Producer, Aya Iizuka
Producer, Shinpei Yamashita
Producer"
256,257,Bungo Stray Dogs Wan!,TV   ,12.0,Nomad,Winter,"Comedy, Seinen, Slice of Life, Chibi, Gag, Short Episodes, Supernatural, Based on a Manga",4.23,2021.0,'No synopsis yet - check back soon!',Bungo Stray Dogs,"Atsushi Nakajima : Yuuto Uemura, Osamu Dazai : Mamoru Miyano, Akiko Yosano : Yu Shimamura, Chuuya Nakahara : Kishou Taniyama, Doppo Kunikida : Yoshimasa Hosoya, Ichiyo Higuchi : Asami Seto, Junichirou Tanizaki : Toshiyuki Toyonaga, Kyouka Izumi : Sumire Morohoshi, Neko Kanai
Original Creator, Satonobu Kikuchi
Director, Taku Iwasaki
Music, Hiromi Daimi
Character Design, Keisuke Satou
Producer, Manabu Kimura
Producer, Yuusuke Kumamoto
Producer"
280,281,A Place Further Than the Universe,TV   ,13.0,MADHOUSE,Winter,"Adventure, Drama, Slice of Life, Death of a Loved One, Original Work",4.22,2018.0,"""Scenery that we have never seen. Sounds that we have never heard. Scent that we have never smelled. Food that we have never tasted. And the surge of emotion that we have never experienced. This is the expedition of recollecting the pieces torn apart and sensation left alone. When we reach that place, what will we think? Howling, 40 degree angle. Raging, 50 degree angle. Shouting, 60 degree angle. A wilderness beyond the heavy sea. The furthest south, far from civilization. At the top of the Earth. We will find lights through the girls' eyes to live tomorrow.""",A Place Further Than the Universe: Yokoku,"Hinata Miyake : Yuka Iguchi, Mari Tamaki : Inori Minase, Shirase Kobuchizawa : Kana Hanazawa, Yuzuki Shiraishi : Saori Hayami, Gin Todo : Mamiko Noto, Kanae Maekawa : Youko Hikasa, Megumi Takahashi : Hisako Kanemoto, Yumiko Samejima : Lynn, Atsuko Ishizuka
Director, Yoshiaki Fujisawa
Music, Takahiro Yoshimatsu
Character Design, Kozue Kaneniwa
Producer, Mitsuhiro Ogata
Producer, Shou Tanaka
Producer, Aya Iizuka
Producer, Hidehisa Nagasawa
Producer"
281,282,K-On! Movie,Movie,,Kyoto Animation,,"Comedy, Seinen, Slice of Life, England, Europe, Iyashikei, Music, Based on a 4-Koma Manga, Based on a Manga",4.22,2011.0,"""Graduation time is finally here, but the girls of the Sakuragaoka Girl's High Light Music Club aren't going to let the end of high school be the end of all they've built together. First though, they have to keep a promise to take a trip together, and like everything else they do, they're not doing it halfway. So it's time to hop on the bus - the double-decker bus that is - and go around the world as the band heads for the birthplace of the British Invasion: the United Kingdom! And on the way they're going to have to solve that one last big puzzle that's been vexing them: what to get for their underclassman rhythm guitarist Azusa, who will be taking over the club once they don their caps and gowns and leave Sakuragaoka for the last time. Get ready for a Magical Musical Tour as the whole gang takes in the sights and sounds of London and prepares for one last amazing encore.""","K-On!, K-On! Ura-On!, K-On! Live House!, K-On!!, K-On!! Ura-On!!, K-On!!: Plan!","Azusa Nakano : Ayana Taketatsu, Mio Akiyama : Youko Hikasa, Ritsu Tainaka : Satomi Satou, Tsumugi Kotobuki : Minako Kotobuki, Yui Hirasawa : Aki Toyosaki, Sawako Yamanaka : Asami Sanada, Ui Hirasawa : Madoka Yonezawa, Akane Satou, Kakifly
Original Creator, Naoko Yamada
Director & Episode Director & Storyboard, Hajime Hyakkoku
Music & Song Arrangement, Yukiko Horiguchi
Animation Director & Character Design & Chief Animation Director & Key Animator, Rin Yamamoto
Photography Director, Seiki Tamura
Art Director, Akiyo Takeda
Color Design, Youko Hatta
Producer"
301,302,ReLIFE: Kanketsu-hen,OVA  ,4.0,Double Eagle,,"Comedy, Drama, Romance, Seinen, Slice of Life, Age Transformation, Psychological, School Life, Based on a Webtoon",4.2,2018.0,"'As the two ReLife experiments are about to reach their time limit, Arata Kanzaki and Chizuru Hoshino must wrap things up at school. Soon their memories will be partially erased and they will be introduced to their adult lives once again.'","ReLIFE, ReLIFE: Kanketsu-hen Specials","Arata Kaizaki : Kensho Ono, Chizuru Hishiro : Ai Kayano, Akira Inukai : Noriaki Sugiyama, An Onoya : Reina Ueda, Honoka Tamarai : Himika Akaneya, Kazuomi Ohga : Yuuma Uchida, Nobunaga Asaji : Daisuke Namikawa, Rena Kariu : Haruka Tomatsu, Sou Yayoi
Original Creator, Satoru Kosaka
Director, Masayasu Tsuboguchi
Music, Junko Yamanaka
Character Design, Kazuki Adachi
Producer, Akihito Watanabe
Producer, Saya Fukida
Producer, Yuka Asano
Producer"
317,318,Silver Spoon 2nd Season,TV   ,11.0,A-1 Pictures,Winter,"Comedy, Shounen, Slice of Life, Agriculture, Coming of Age, Lifestyle Change, noitaminA, School Life, Based on a Manga",4.19,2014.0,"'Yuugo, Aki and the rest of the gang continue their studies at Ezonoo agricultural high school, handling chickens, grooming cows and learning all about a farm worker’s duties. Change is in the air, as the group is becoming more skilled, and the equestrian club has even asked Yuugo to become the new vice president, much to his dismay! Whether Yuugo and his friends are adopting a stray puppy, watching jumping competitions or learning the intimate ways to check if a cow is pregnant, they’re sure to have a fun time at Ezonoo.'",Silver Spoon,"Aki Mikage : Marie Miyake, Yuugo Hachiken : Ryouhei Kimura, Ayame Minamikujou : Sayuri Yahagi, Chestnut, Ichirou Komaba : Tooru Sakurai, Keiji Tokiwa : Masayuki Shouji, Shinei Ookawa : Takahiro Mizushima, Tamako Inada : Ayahi Takagaki, Hiromu Arakawa
Original Creator, Kotomi Deai
Director, Shuusei Murai
Music, Jun Nakai
Character Design, Kazuya Monma
Cg Director, Shigeru Nishiyama
Editor"
