a1.Name,Proximo_Rikako_Aida,a2.Name,Trabalhou_com_proximos_Rikako_aida
"""Happy Party Train""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Riho Iida"""
"""Happy Party Train""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Yurie Kozakai"""
"""Happy Party Train""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Maaya Uchida"""
"""Happy Party Train""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Mai Fuchigami"""
"""Happy Party Train""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Mariko Honda"""
"""Happy Party Train""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Megumi Toda"""
"""Happy Party Train""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Rie Murakawa"""
"""Happy Party Train""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Sayaka Oohara"""
"""Happy Party Train""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Yoshiyuki Shimozuma"""
"""Happy Party Train""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Akane Fujita"""
"""Happy Party Train""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Ami Koshimizu"""
"""Happy Party Train""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Jiro Jay Takasugi"""
"""Happy Party Train""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Miyu Tomita"""
"""Happy Party Train""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Yukari Tamura"""
"""Happy Party Train""","""Aina Suzuki""","""Magical Girl Site""","""Ayaka Shimizu"""
"""Happy Party Train""","""Aina Suzuki""","""Magical Girl Site""","""Haruka Yamazaki"""
"""Happy Party Train""","""Aina Suzuki""","""Magical Girl Site""","""Himika Akaneya"""
"""Happy Party Train""","""Aina Suzuki""","""Magical Girl Site""","""Nobuhiko Okamoto"""
"""Happy Party Train""","""Aina Suzuki""","""Magical Girl Site""","""Yuu Serizawa"""
"""Happy Party Train""","""Aina Suzuki""","""Magical Girl Site""","""Yuuko Oono"""
"""Happy Party Train""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Hiroki Aiba"""
"""Happy Party Train""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Junya Ikeda"""
"""Happy Party Train""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Shintarou Asanuma"""
"""Happy Party Train""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Tsubasa Yonaga"""
"""Happy Party Train""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Youko Hikasa"""
"""Happy Party Train""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Yuka Iguchi"""
"""Happy Party Train""","""Aina Suzuki""","""Rumble Garanndoll""","""Fairouz Ai"""
"""Happy Party Train""","""Aina Suzuki""","""Rumble Garanndoll""","""Mana Hirata"""
"""Happy Party Train""","""Aina Suzuki""","""Rumble Garanndoll""","""Rina Hidaka"""
"""Happy Party Train""","""Aina Suzuki""","""Rumble Garanndoll""","""Shiori Izawa"""
"""Happy Party Train""","""Aina Suzuki""","""Rumble Garanndoll""","""Takamitsu Fukuchi"""
"""Happy Party Train""","""Aina Suzuki""","""Rumble Garanndoll""","""Takuma Terashima"""
"""Happy Party Train""","""Aina Suzuki""","""Rumble Garanndoll""","""Tomokazu Sugita"""
"""Happy Party Train""","""Aina Suzuki""","""Sweetness & Lightning""","""Haruka Tomatsu"""
"""Happy Party Train""","""Aina Suzuki""","""Sweetness & Lightning""","""Kouji Fujiyoshi"""
"""Happy Party Train""","""Aina Suzuki""","""Sweetness & Lightning""","""Rina Endou"""
"""Happy Party Train""","""Aina Suzuki""","""Sweetness & Lightning""","""Saaya Andou"""
"""Happy Party Train""","""Aina Suzuki""","""Sweetness & Lightning""","""Saori Hayami"""
"""Happy Party Train""","""Aina Suzuki""","""Sweetness & Lightning""","""Tomokazu Seki"""
"""Happy Party Train""","""Aina Suzuki""","""Sweetness & Lightning""","""Yuuichi Nakamura"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Asuka Nishi"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Ayaka Imamura"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Machico"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Mai Kanazawa"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Shiori Katsuta"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Tomomi Yoshikai"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Yuu Wakui"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Asuka Nishi"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Ayaka Imamura"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Kenji Akabane"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Kotone Kuwayama"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Mai Kanazawa"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Nao Natsuno"""
"""Happy Party Train""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Yuu Wakui"""
"""Happy Party Train""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Ayaka Oohashi"""
"""Happy Party Train""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Haruka Terui"""
"""Happy Party Train""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Minami Tanaka"""
"""Happy Party Train""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Suzuko Mimori"""
"""Happy Party Train""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Yumi Uchiyama"""
"""Happy Party Train""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Yuuko Oono"""
"""Happy Party Train""","""Anju Inami""","""Anime-Gataris""","""Ai Kakuma"""
"""Happy Party Train""","""Anju Inami""","""Anime-Gataris""","""Hisako Toujou"""
"""Happy Party Train""","""Anju Inami""","""Anime-Gataris""","""Junta Terashima"""
"""Happy Party Train""","""Anju Inami""","""Anime-Gataris""","""Kaede Hondo"""
"""Happy Party Train""","""Anju Inami""","""Anime-Gataris""","""Rie Takahashi"""
"""Happy Party Train""","""Anju Inami""","""Anime-Gataris""","""Sayaka Senbongi"""
"""Happy Party Train""","""Anju Inami""","""Anime-Gataris""","""Setsuo Ito"""
"""Happy Party Train""","""Anju Inami""","""Hinata no Aoshigure""","""Saori Hayami"""
"""Happy Party Train""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Aya Uchida"""
"""Happy Party Train""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Junko Takeuchi"""
"""Happy Party Train""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Saki Fujita"""
"""Happy Party Train""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Sarah Emi Bridcutt"""
"""Happy Party Train""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Yuka Iguchi"""
"""Happy Party Train""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Daisuke Namikawa"""
"""Happy Party Train""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Ikkyuu Juku"""
"""Happy Party Train""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Katsuhito Nomura"""
"""Happy Party Train""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Kenyuu Horiuchi"""
"""Happy Party Train""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Masato Hagiwara"""
"""Happy Party Train""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Romi Park"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Natsumi Takamori"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Rina Hidaka"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Saori Oonishi"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Sora Tokui"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Yoshitsugu Matsuoka"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Daiki Yamashita"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Junichi Yanagita"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Mikako Komatsu"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Nana Mizuki"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Shiori Izawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Yuki Inoue"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!""","""Chiaki Omigawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!""","""Kouji Yusa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!""","""Miyu Kubota"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!""","""Nichika Omori"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!""","""Rico Sasaki"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!""","""Yurie Kozakai"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil! (Web)""","""Chiaki Omigawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil! (Web)""","""Miko Terada"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil! (Web)""","""Miyu Kubota"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil! (Web)""","""Nichika Omori"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil! (Web)""","""Riho Iida"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil! (Web)""","""Yurie Kozakai"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash""","""Chiaki Omigawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash""","""Marina Yamada"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash""","""Miyu Kubota"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash""","""Nichika Omori"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash""","""Rico Sasaki"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash""","""Riho Iida"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash""","""Yurie Kozakai"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Chiaki Omigawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Marina Yamada"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Miharu Hanai"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Miyu Kubota"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Nichika Omori"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Riho Iida"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Dropkick on My Devil!! Dash: Chapter Chitose""","""Yurie Kozakai"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Maaya Uchida"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Mai Fuchigami"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Mariko Honda"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Megumi Toda"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Rie Murakawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Sayaka Oohara"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Etotama: Nyan-Kyaku Banrai""","""Yoshiyuki Shimozuma"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Akane Fujita"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Ami Koshimizu"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Jiro Jay Takasugi"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Miyu Tomita"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Iwakakeru! Sport Climbing Girls""","""Yukari Tamura"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Magical Girl Site""","""Ayaka Shimizu"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Magical Girl Site""","""Haruka Yamazaki"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Magical Girl Site""","""Himika Akaneya"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Magical Girl Site""","""Nobuhiko Okamoto"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Magical Girl Site""","""Yuu Serizawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Magical Girl Site""","""Yuuko Oono"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Hiroki Aiba"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Junya Ikeda"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Shintarou Asanuma"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Tsubasa Yonaga"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Youko Hikasa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Majestic Prince Movie: Kakusei no Idenshiko""","""Yuka Iguchi"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Rumble Garanndoll""","""Fairouz Ai"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Rumble Garanndoll""","""Mana Hirata"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Rumble Garanndoll""","""Rina Hidaka"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Rumble Garanndoll""","""Shiori Izawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Rumble Garanndoll""","""Takamitsu Fukuchi"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Rumble Garanndoll""","""Takuma Terashima"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Rumble Garanndoll""","""Tomokazu Sugita"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Sweetness & Lightning""","""Haruka Tomatsu"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Sweetness & Lightning""","""Kouji Fujiyoshi"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Sweetness & Lightning""","""Rina Endou"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Sweetness & Lightning""","""Saaya Andou"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Sweetness & Lightning""","""Saori Hayami"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Sweetness & Lightning""","""Tomokazu Seki"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Sweetness & Lightning""","""Yuuichi Nakamura"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Asuka Nishi"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Ayaka Imamura"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Machico"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Mai Kanazawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Shiori Katsuta"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Tomomi Yoshikai"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors""","""Yuu Wakui"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Asuka Nishi"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Ayaka Imamura"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Kenji Akabane"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Kotone Kuwayama"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Mai Kanazawa"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Nao Natsuno"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Three Leaves, Three Colors Specials""","""Yuu Wakui"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Ayaka Oohashi"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Haruka Terui"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Minami Tanaka"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Suzuko Mimori"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Yumi Uchiyama"""
"""Love Live! Sunshine!!""","""Aina Suzuki""","""Yuuki Yuuna is a Hero: The Great Mankai Chapter""","""Yuuko Oono"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Anime-Gataris""","""Ai Kakuma"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Anime-Gataris""","""Hisako Toujou"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Anime-Gataris""","""Junta Terashima"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Anime-Gataris""","""Kaede Hondo"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Anime-Gataris""","""Rie Takahashi"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Anime-Gataris""","""Sayaka Senbongi"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Anime-Gataris""","""Setsuo Ito"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Hinata no Aoshigure""","""Saori Hayami"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Aya Uchida"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Junko Takeuchi"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Saki Fujita"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Sarah Emi Bridcutt"""
"""Love Live! Sunshine!!""","""Anju Inami""","""Tabechattate Ii no ni na!""","""Yuka Iguchi"""
"""Love Live! Sunshine!!""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Daisuke Namikawa"""
"""Love Live! Sunshine!!""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Ikkyuu Juku"""
"""Love Live! Sunshine!!""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Katsuhito Nomura"""
"""Love Live! Sunshine!!""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Kenyuu Horiuchi"""
"""Love Live! Sunshine!!""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Masato Hagiwara"""
"""Love Live! Sunshine!!""","""Arisa Komiya""","""Garo Movie: Divine Flame""","""Romi Park"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayaka Suwa"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Ayane Sakura"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Natsumi Takamori"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Rina Hidaka"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Saori Oonishi"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Sora Tokui"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Alice or Alice: Siscon Nii-san to Futago no Imouto Recap""","""Yoshitsugu Matsuoka"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Daiki Yamashita"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Junichi Yanagita"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Mikako Komatsu"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Nana Mizuki"""
"""Love Live! Sunshine!! 2nd Season""","""Aina Suzuki""","""Don't Toy With Me, Miss Nagatoro""","""Shiori Izawa"""
